version,submission_id,episode_id,create_time,seat,opponent_submission,opponent_rating,our_rating_before,our_rating_after,won,went_first,opponent_family,opponent_deck_hash,exact_mirror,wall_family,turns,our_turns,our_prize_left,opp_prize_left,our_deck_left,opp_deck_left,our_bodies_left,board_out,deck_out,first_ready_turn,first_shadow_turn,first_attack_turn,opp_first_attack_turn,own_first_shadow_turn,own_first_ready_turn,gate_violation,shadow_attacks,attacks,grim_evolutions,rare_candies,adrena_brains,froslass_actions,froslass_true_evolutions,stamps,bosses,lillies,our_decisions,our_multi_pick,our_ends,our_overage_start,our_overage_end,our_overage_used,opp_overage_used,odd_status,steps
v22_b,55483874,92658471,2026-08-13T13:19:44.094132600Z,0,55443288,630.6019,805.0717,851.6277,1,first,Mega Lucario,603dca472e915d83,0,0,11,6,1,5,16,34,6,0,0,3,3,3,2,2,2,0,5,5,1,1,1,2,1,1,1,2,69,3,1,600.0,589.2127299999997,10.787,1.533,,109
v22_b,55483874,92659405,2026-08-13T13:23:41.993775Z,1,54987267,798.3031,851.6277,767.229,0,first,Archaludon,ebd4dbb270dce6a2,0,0,12,6,5,2,27,9,0,1,0,5,5,3,2,3,3,0,2,3,1,0,0,3,1,0,1,1,56,2,3,600.0,593.3174159999999,6.683,1.893,,116
v22_b,55483874,92660365,2026-08-13T13:27:44.332511100Z,1,55312946,833.0503,767.229,841.252,1,second,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,12,6,1,3,21,19,5,0,0,6,6,6,5,3,3,0,4,4,3,1,8,0,0,2,2,2,98,4,2,600.0,587.0684170000004,12.932,4.766,,179
v22_b,55483874,92661317,2026-08-13T13:31:41.562184400Z,0,55478416,882.4722,841.252,897.8829,1,first,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,13,7,2,2,20,24,4,0,0,7,7,5,4,4,4,0,4,5,3,1,8,0,0,2,1,2,108,5,2,600.0,586.774264,13.226,3.207,,177
v22_b,55483874,92662264,2026-08-13T13:35:41.819176600Z,0,55347647,888.5367,897.8829,853.8907,0,first,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,10,5,4,2,27,19,3,0,0,3,3,3,4,2,2,0,4,4,2,1,2,1,1,2,1,0,64,2,1,600.0,592.510113,7.49,11.599,,150
v22_b,55483874,92663236,2026-08-13T13:39:41.670886800Z,1,55354361,513.8171,853.8907,861.2563,1,second,Alakazam,cc38cb450b86770a,0,0,12,6,1,5,19,27,6,0,0,6,6,2,11,3,3,0,4,6,1,0,1,5,1,0,1,1,71,3,0,600.0,589.5922910000002,10.408,2.481,,122
v22_b,55483874,92664175,2026-08-13T13:43:42.833999400Z,1,55467130,948.0082,888.3215,927.2859,1,second,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,14,7,1,2,14,18,5,0,0,4,4,4,3,2,2,0,6,6,3,1,9,0,0,0,2,3,129,4,1,600.0,583.771779,16.228,409.74,,232
v22_b,55483874,92665345,2026-08-13T13:47:42.851344300Z,1,55479385,787.094,861.2563,888.3215,1,first,Alakazam,7fa65817cc79c36c,0,0,11,6,1,5,17,15,6,0,0,5,5,5,2,3,3,0,3,3,1,2,5,3,2,0,1,2,84,5,2,600.0,590.5232140000003,9.477,14.865,,153
v22_b,55483874,92666088,2026-08-13T13:51:41.509292300Z,0,55445655,949.2866,927.2859,900.7005,0,first,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,12,6,1,1,18,20,4,0,0,3,3,3,4,2,2,0,5,5,3,2,4,2,1,2,1,2,97,4,1,600.0,585.9720540000005,14.028,117.256,,217
v22_b,55483874,92667041,2026-08-13T13:55:47.910126300Z,0,55440107,858.7002,900.7005,923.218,1,first,Mega Lopunny / Froslass,a7ee29914c1dce64,0,0,15,8,1,1,8,11,6,0,0,5,5,3,4,3,3,0,6,7,3,2,7,9,2,2,1,3,132,5,1,600.0,581.1493669999998,18.851,19.219,,225
v22_b,55483874,92667978,2026-08-13T13:59:46.629061800Z,1,55371062,850.9658,923.218,941.6484,1,second,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,14,7,1,2,15,16,6,0,0,6,6,6,5,3,3,0,5,5,2,0,10,1,1,2,1,4,129,4,2,600.0,582.3241510000004,17.676,6.665,,246
v22_b,55483874,92668916,2026-08-13T14:03:47.727755600Z,0,55444628,923.3638,941.6484,962.6883,1,first,Alakazam,cc38cb450b86770a,0,0,13,7,1,3,25,22,6,0,0,3,3,3,4,2,2,0,4,4,2,1,2,2,1,1,0,1,71,3,3,600.0,589.9081990000004,10.092,3.786,,143
v22_b,55483874,92669860,2026-08-13T14:07:46.537590300Z,1,55450580,1016.2314,962.6883,945.5814,0,second,Ogerpon,97df7a2a423da1d8,0,1,9,4,4,2,14,18,5,0,0,6,6,6,3,3,3,0,2,2,2,1,3,5,1,2,1,2,79,2,2,600.0,589.8877100000002,10.112,11.255,,151
v22_b,55483874,92670803,2026-08-13T14:11:46.601428900Z,1,55423662,958.8572,945.5814,966.0262,1,second,Alakazam,cc38cb450b86770a,0,0,10,5,1,5,22,12,6,0,0,4,4,4,3,2,2,0,3,3,1,1,6,3,1,1,0,1,79,1,1,600.0,588.6978179999999,11.302,24.115,,159
v22_b,55483874,92671748,2026-08-13T14:15:46.971340Z,1,55438724,973.8074,966.0262,984.7608,1,second,Alakazam,cc38cb450b86770a,0,0,12,6,1,2,16,2,6,0,0,6,6,6,3,3,3,0,2,4,1,0,7,2,1,2,0,3,97,2,2,600.0,586.3890600000001,13.611,13.671,,198
v22_b,55483874,92672673,2026-08-13T14:19:46.513217500Z,0,55472923,1004.8677,984.7608,968.8632,0,first,Mega Lopunny / Froslass,592ba6d36c438f88,0,0,8,4,3,2,13,20,5,0,0,3,3,3,2,2,2,0,3,3,3,1,1,3,1,0,1,2,70,4,1,600.0,589.3314750000002,10.669,3.165,,123
v22_b,55483874,92673673,2026-08-13T14:23:48.452903400Z,1,55470232,936.9024,968.8632,983.2124,1,second,Alakazam,cc38cb450b86770a,0,0,8,4,4,6,27,43,6,0,0,4,4,4,,2,2,0,3,3,1,1,0,3,2,1,1,2,46,2,1,600.0,591.4177290000003,8.582,12.795,,64
