adrena_brains,attacks,bosses,create_time,episode_id,first_attack_turn,first_ready_turn,first_shadow_turn,froslass_evolves,grim_evolutions,opp_deck_left,opp_first_attack_turn,opp_prize_left,opponent_deck_hash,opponent_family,opponent_rating,opponent_submission,our_bodies_left,our_deck_left,our_prize_left,our_rating,our_turns,own_first_ready_turn,own_first_shadow_turn,rare_candies,seat,shadow_attacks,stamps,turns,version,went_first,won
7,3,1,2026-08-12T01:39:10.600016200Z,92160687,7,7,7,3,2,7,4,3,cc38cb450b86770a,Alakazam,891.9645,55393911,6,24,1,901.9055,6,4,4,0,0,3,0,11,v20,True,True
12,5,0,2026-08-12T01:43:12.357911400Z,92161629,6,6,6,1,3,14,7,4,9714ab5c3996f6cc,Grimmsnarl (mirror),953.9682,55390724,5,27,2,947.4014,7,3,3,0,1,5,0,14,v20,False,True
3,4,0,2026-08-12T01:47:12.629206Z,92162566,3,3,3,2,3,34,4,1,beb28c5389bf9e1f,Mega Lopunny / Froslass,1027.2661,55430330,5,16,1,988.9671,6,2,2,3,0,4,2,11,v20,True,True
2,4,0,2026-08-12T01:51:16.381083400Z,92163498,6,6,6,0,2,27,7,1,21c3f20980827cb2,Grimmsnarl (mirror),980.6288,55409731,1,20,5,1029.3313,7,3,3,0,1,3,1,15,v20,False,False
5,4,0,2026-08-12T01:55:11.142900700Z,92164441,4,4,4,2,2,7,3,1,a7ee29914c1dce64,Mega Lopunny / Froslass,1025.7026,55441017,5,15,3,992.3711,6,2,2,1,1,4,2,13,v20,False,False
3,2,1,2026-08-12T01:55:11.393215300Z,92164599,8,8,8,3,1,15,5,2,202ee2cec6cbe8b4,Dragapult,1007.1823,55443978,2,28,2,967.3013,5,4,4,2,1,2,1,11,v20,False,False
2,3,1,2026-08-12T01:59:10.686834500Z,92165385,3,3,3,5,2,21,4,1,9714ab5c3996f6cc,Grimmsnarl (mirror),917.7787,55444068,5,18,5,945.1571,5,2,2,1,0,3,0,10,v20,True,False
7,7,1,2026-08-12T02:03:11.383819500Z,92166327,2,4,4,2,3,30,7,2,36308472ad6655a5,Kangaskhan / Crustle,876.8227,55305966,6,6,1,919.2892,8,2,2,2,1,6,1,16,v20,False,True
3,6,1,2026-08-12T02:07:11.033902800Z,92167269,3,5,5,4,2,33,6,5,9b415cc6bbdf6fd5,Kangaskhan / Crustle,913.3124,55443106,6,16,2,938.1419,7,3,3,1,0,4,1,13,v20,True,True
3,3,2,2026-08-12T02:07:11.219405800Z,92167385,6,6,6,0,2,13,3,1,a7ee29914c1dce64,Mega Lopunny / Froslass,1060.0871,55443913,5,11,4,956.7802,6,3,3,1,1,3,1,13,v20,False,False
2,9,0,2026-08-12T02:11:10.740917700Z,92168220,7,7,7,5,2,32,2,4,2615cb184074e798,Kangaskhan / Crustle,880.811,55407664,6,0,6,944.0512,12,4,4,2,0,9,2,24,v20,True,False
12,6,1,2026-08-12T02:15:11.184687200Z,92169244,6,6,6,0,2,20,3,5,a7ee29914c1dce64,Mega Lopunny / Froslass,904.6512,55408195,6,14,2,921.6175,9,3,3,0,1,6,1,18,v20,False,True
8,3,0,2026-08-12T02:19:11.012400700Z,92170091,3,3,3,0,2,20,2,3,9714ab5c3996f6cc,Grimmsnarl (mirror),884.0121,55318486,5,20,1,937.6039,5,2,2,1,0,3,1,9,v20,True,True
4,3,0,2026-08-12T02:23:10.789347600Z,92171043,6,6,6,5,2,14,3,1,cc38cb450b86770a,Alakazam,898.0652,55436166,4,18,1,950.7309,5,3,3,1,1,3,2,11,v20,False,False
9,4,0,2026-08-12T02:27:17.822940600Z,92171978,5,5,5,0,2,15,4,5,9714ab5c3996f6cc,Grimmsnarl (mirror),838.365,55370176,5,24,1,932.5894,6,3,3,0,0,4,0,11,v20,True,True
8,4,0,2026-08-12T02:31:10.348469300Z,92172908,3,5,7,10,1,22,2,5,cc38cb450b86770a,Alakazam,938.3508,55096883,6,25,1,942.5329,6,3,4,1,0,3,1,11,v20,True,True
3,4,1,2026-08-12T02:35:10.881690600Z,92173836,3,3,3,7,1,37,,6,8d3a8feb6bf84019,Dipplin,932.4236,55442755,5,35,1,956.1301,5,2,2,1,0,4,0,9,v20,True,True
6,4,1,2026-08-12T02:39:10.546762700Z,92174768,6,6,6,7,3,17,5,3,cc38cb450b86770a,Alakazam,965.1626,55395289,6,12,1,968.1436,6,3,3,1,1,4,2,12,v20,False,True
2,4,0,2026-08-12T02:43:10.421646100Z,92175704,3,3,3,0,2,33,6,6,daff2ed17de6145d,other: Cynthia's Garchomp ex,903.204,55273269,6,21,1,980.593,5,2,2,2,0,4,0,9,v20,True,True
7,5,1,2026-08-12T02:47:11.030251300Z,92176625,5,5,5,0,2,27,4,3,9714ab5c3996f6cc,Grimmsnarl (mirror),897.1467,55443573,4,25,1,989.5042,7,3,3,0,0,5,2,13,v20,True,True
2,5,0,2026-08-12T02:51:10.888414200Z,92177597,5,5,5,0,3,19,6,2,9714ab5c3996f6cc,Grimmsnarl (mirror),1028.6715,55395787,2,16,5,997.5167,7,3,3,0,0,5,2,14,v20,True,False
1,3,0,2026-08-12T02:55:35.481904600Z,92178524,4,4,4,1,2,28,3,2,0dede7cb8026e473,Ogerpon,988.1566,55429108,4,25,4,987.5382,4,2,2,1,1,3,1,8,v20,False,True
1,1,0,2026-08-12T02:55:35.683630900Z,92178666,6,6,6,2,2,41,3,5,087addb066c1d16f,other: Mega Abomasnow ex,156.6992,55434525,6,23,6,987.5276,3,3,3,1,1,1,0,6,v20,False,True
2,0,0,2026-08-12T02:59:33.880296500Z,92179485,,,,0,0,22,3,1,9714ab5c3996f6cc,Grimmsnarl (mirror),984.767,55431441,3,33,6,998.3368,6,,,0,1,0,0,13,v20,False,False
0,4,0,2026-08-12T02:59:33.897540Z,92179504,4,6,6,1,2,7,3,2,cc38cb450b86770a,Alakazam,1036.8204,55445402,5,26,3,987.4612,5,3,3,1,1,2,0,11,v20,False,False
10,3,0,2026-08-12T03:03:18.490143300Z,92180419,6,6,6,0,2,21,5,5,6ef5d9bc5407f2ae,Grimmsnarl (mirror),976.1575,55441101,6,23,1,979.2425,6,3,3,0,1,3,0,12,v20,False,True
6,7,1,2026-08-12T03:07:12.012372Z,92181351,3,3,3,0,1,7,,6,17125d8ba1b278fc,Grimmsnarl (mirror),987.5769,55437832,6,22,1,988.8008,8,2,2,1,0,7,0,15,v20,True,True
5,4,1,2026-08-12T03:11:06.092287900Z,92182285,6,6,6,3,3,24,3,1,cc38cb450b86770a,Alakazam,964.0794,55444628,6,10,1,998.1047,7,3,3,3,1,4,2,14,v20,False,True
17,4,0,2026-08-12T03:15:36.341805400Z,92183225,4,4,4,6,2,17,7,1,e867da7ee803397c,Kangaskhan / Crustle,975.1998,55437097,4,8,1,1006.0279,9,2,2,1,1,3,2,19,v20,False,False
0,3,0,2026-08-12T03:19:36.582685Z,92184158,2,4,4,4,2,42,3,3,0dede7cb8026e473,Ogerpon,921.3303,55366485,6,21,6,996.2661,3,2,2,1,1,2,2,6,v20,False,True
2,3,0,2026-08-12T03:23:36.214183200Z,92185044,2,6,6,4,2,17,3,2,cc38cb450b86770a,Alakazam,956.5632,55394655,3,29,4,1002.6055,4,3,3,0,1,2,0,9,v20,False,False
11,3,2,2026-08-12T03:27:36.377945200Z,92186042,5,5,5,0,1,18,4,3,6ef5d9bc5407f2ae,Grimmsnarl (mirror),965.6956,55441101,5,31,1,992.8967,6,3,3,1,0,3,1,11,v20,True,True
0,0,0,2026-08-12T03:31:36.181623200Z,92187003,,,,1,0,35,2,4,cf84f522720e3610,other: Conkeldurr,1082.3332,55444252,0,42,6,1000.1313,2,,,0,0,0,0,4,v20,True,False
2,3,0,2026-08-12T03:35:36.323190900Z,92187940,2,6,6,4,1,42,3,6,06719550d979d46e,Kangaskhan / Crustle,678.0833,54318477,6,25,5,994.5161,3,3,3,1,1,1,0,6,v20,False,True
3,2,0,2026-08-12T03:39:37.525070Z,92188868,6,6,6,1,1,19,5,1,9714ab5c3996f6cc,Grimmsnarl (mirror),1037.4196,55407630,1,22,6,995.9777,5,3,3,0,1,2,0,11,v20,False,False
3,3,0,2026-08-12T03:43:36.906355400Z,92189837,14,4,14,3,3,28,15,2,9714ab5c3996f6cc,Grimmsnarl (mirror),997.1513,55401396,3,17,3,989.5328,9,2,7,1,1,3,1,19,v20,False,False
4,7,1,2026-08-12T03:47:36.500087400Z,92190746,5,5,5,1,3,18,4,2,6fa64c0e3b2eb67c,Mega Lopunny / Froslass,959.133,55429290,4,14,1,982.3822,9,3,3,0,0,7,1,17,v20,True,True
